ilia@ilia-VirtualBox:~$ mc

ilia@ilia-VirtualBox:~$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
ilia        1238     853  0 15:35 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
ilia        1250     827  0 15:35 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
ilia        1259     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-a11y-settings
ilia        1260     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-color
ilia        1261     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-datetime
ilia        1263     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-housekeeping
ilia        1268     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-keyboard
ilia        1269     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-media-keys
ilia        1270     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-power
ilia        1271     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-print-notifications
ilia        1272     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-rfkill
ilia        1274     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
ilia        1279     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-sharing
ilia        1282     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-smartcard
ilia        1284     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-sound
ilia        1289     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-usb-protection
ilia        1292     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-wacom
ilia        1298     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-wwan
ilia        1300     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-xsettings
ilia        1316    1103  0 15:35 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
ilia        1350    1103  0 15:35 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ilia        1365     827  0 15:35 ?        00:00:00 /usr/libexec/gsd-printer
colord      1388       1  0 15:35 ?        00:00:00 /usr/libexec/colord
ilia        1389    1135  0 15:35 ?        00:00:00 /usr/libexec/ibus-engine-simple
ilia        1446     827  0 15:35 ?        00:00:15 /snap/snap-store/467/usr/bin/snap-store --gapplication-service
ilia        1457     827  0 15:35 ?        00:00:00 /usr/libexec/xdg-document-portal
root        1573       1  0 15:36 ?        00:00:00 /usr/libexec/fwupd/fwupd
ilia        2020     827  0 15:36 ?        00:00:30 /usr/libexec/gnome-terminal-server
ilia        2038    2020  0 15:36 pts/0    00:00:00 bash
ilia        2054     827  0 15:36 ?        00:00:00 /usr/libexec/gvfsd-metadata
ilia        2060    1103  0 15:36 ?        00:00:00 update-notifier
root        3084       2  0 16:30 ?        00:00:00 [kworker/u2:1-events_power_efficient]
ilia        3142     827  0 16:37 ?        00:00:52 /usr/lib/firefox/firefox -new-window
ilia        3231    3142  1 16:37 ?        00:00:59 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 228091 -pa
ilia        3274    3142  0 16:37 ?        00:00:02 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 6376 -prefMapSize 228091 
ilia        3287    3142  0 16:37 ?        00:00:04 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 6376 -prefMapSize 228091 
ilia        3355    3142  0 16:37 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 6514 -prefMapSize 228091 
ilia        3396     827  0 16:37 ?        00:00:00 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
ilia        3399     827  0 16:37 ?        00:00:00 /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
ilia        3405     827  0 16:37 ?        00:00:00 /usr/bin/speech-dispatcher --spawn --communication-method unix_socket --socket-path /run/user/1000
root        3818       2  0 17:30 ?        00:00:01 [kworker/0:0-events]
root        3943       2  0 17:50 ?        00:00:00 [kworker/0:2]
root        3951       1  0 17:50 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        3989       2  0 17:57 ?        00:00:00 [kworker/u2:0-events_unbound]
ilia        4103    2038  3 18:10 pts/0    00:00:00 ps -ef
